,Term,Category
28426,Fenestrasjon eller oppboring av metatars,PROCEDURE
28427,Fenestrasjon eller oppboring av tå,PROCEDURE
28428,Utskraping av cyste i laterale malleol,PROCEDURE
28429,Utskraping av cyste i mediale malleol,PROCEDURE
28430,Utskraping av cyste i talus,PROCEDURE
28431,Utskraping av cyste i calcaneus,PROCEDURE
28432,Utskraping av cyste i annet fotrotsbein,PROCEDURE
28433,Utskraping av cyste i metatars,PROCEDURE
28434,Utskraping av cyste i tå,PROCEDURE
28435,Epifysiodese i laterale malleol,PROCEDURE
28436,Epifysiodese i mediale malleol,PROCEDURE
28437,Epifysiodese i begge malleoler,PROCEDURE
28438,Epifysiodese i begge malleoler og margo posterior,PROCEDURE
28439,Epifysiodese i metatars,PROCEDURE
28440,Epifysiodese i tå,PROCEDURE
28441,"Osteotomi i laterale malleol med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28442,"Osteotomi i mediale malleol med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28443,"Osteotomi i begge malleoler med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28444,"Osteotomi i talus med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28445,"Osteotomi i calcaneus med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28446,"Osteotomi i annet fotrotsbein med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28447,"Osteotomi i metatars med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28448,"Osteotomi i tå med aksekorreksjon, rotasjon eller forskyvning",PROCEDURE
28449,Osteotomi i laterale malleol med forkorting eller forlengelse,PROCEDURE
28450,Osteotomi i mediale malleol med forkorting eller forlengelse,PROCEDURE
28451,Osteotomi i begge malleoler med forkorting eller forlengelse,PROCEDURE
28452,Osteotomi i talus med forkorting eller forlengelse,PROCEDURE
28453,Osteotomi i calcaneus med forkorting eller forlengelse,PROCEDURE
28454,Osteotomi i annet fotrotsbein med forkorting eller forlengelse,PROCEDURE
28455,Osteotomi i metatars med forkorting eller forlengelse,PROCEDURE
28456,Osteotomi i tå med forkorting eller forlengelse,PROCEDURE
28457,Beintransportoperasjon i laterale malleol,PROCEDURE
28458,Beintransportoperasjon i mediale malleol,PROCEDURE
28459,Beintransportoperasjon i begge malleoler,PROCEDURE
28460,Beintransportoperasjon i talus,PROCEDURE
28461,Beintransportoperasjon i calcaneus,PROCEDURE
28462,Beintransportoperasjon i annet fotrotsbein,PROCEDURE
28463,Beintransportoperasjon i metatars,PROCEDURE
28464,Beintransportoperasjon i tå,PROCEDURE
28465,Epifysedistraksjon på laterale malleol,PROCEDURE
28466,Epifysedistraksjon på mediale malleol,PROCEDURE
28467,Epifysedistraksjon på begge malleoler,PROCEDURE
28468,Epifysedistraksjon på talus,PROCEDURE
28469,Epifysedistraksjon på calcaneus,PROCEDURE
28470,Epifysedistraksjon på annet fotrotsbein,PROCEDURE
28471,Epifysedistraksjon på metatars,PROCEDURE
28472,Epifysedistraksjon på tå,PROCEDURE
28473,Annen operasjon på laterale malleol,PROCEDURE
28474,Annen operasjon på mediale malleol,PROCEDURE
28475,Annen operasjon på begge malleoler,PROCEDURE
28476,Annen operasjon på begge malleoler og margo posterior,PROCEDURE
28477,Annen operasjon på talus,PROCEDURE
28478,Annen operasjon på calcaneus,PROCEDURE
28479,Annen operasjon på annet fotrotsbein,PROCEDURE
28480,Annen operasjon på metatars,PROCEDURE
28481,Annen operasjon på tå,PROCEDURE
28482,Løsning av muskel i ankel eller fot,PROCEDURE
28483,Sutur eller rekonstruksjon av muskel i ankel eller fot,PROCEDURE
28484,Transposisjon av muskel i ankel eller fot,PROCEDURE
28485,Myotomi eller tenotomi i ankel eller fot,PROCEDURE
28486,Sutur eller reinserering av sene i ankel eller fot,PROCEDURE
28487,Tenolyse eller tenosynovektomi i ankel eller fot,PROCEDURE
28488,"Tenodese, forkorting eller forlengelse av sene i ankel eller fot",PROCEDURE
28489,Eksisjon av muskel eller sene i ankel eller fot,PROCEDURE
28490,Transposisjon av sene i ankel eller fot,PROCEDURE
28491,Annen operasjon på muskel eller sene i ankel eller fot,PROCEDURE
28492,Fasciotomi i ankel eller fot,PROCEDURE
28493,Reseksjon eller eksisjon av fascie i ankel eller fot,PROCEDURE
28494,Sutur av fascie i ankel eller fot,PROCEDURE
28495,Eksisjon av synovialt ganglion i ankel eller fot,PROCEDURE
28496,Spalting av seneskjede i ankel eller fot,PROCEDURE
28497,Reseksjon av seneskjede i ankel eller fot,PROCEDURE
28498,Eksisjon av bursa i ankel eller fot,PROCEDURE
28499,"Annen operasjon på fascie, ganglion, seneskjede eller bursa i ankel eller fot",PROCEDURE
28500,Autotransplantasjon av bein til ankel eller fot,PROCEDURE
28501,Allotransplantasjon av bein til ankel eller fot,PROCEDURE
28502,Xenotransplantasjon av bein til ankel eller fot,PROCEDURE
28503,Transplantasjon av sene til ankel eller fot,PROCEDURE
28504,"Transplantasjon av brusk, periost eller fascie til ankel eller fot",PROCEDURE
28505,Annen transplantasjon til ankel eller fot,PROCEDURE
28506,Replantasjon av tå,PROCEDURE
28507,Autotransplantasjon eller transposisjon av tå,PROCEDURE
28508,Replantasjon av fot,PROCEDURE
28509,Annen replantasjon i ankel eller fot,PROCEDURE
28510,Talokrural eksartikulasjon,PROCEDURE
28511,Intertarsal eksartikulasjon,PROCEDURE
28512,Tarsometatarsal eksartikulasjon,PROCEDURE
28513,Metatarsofalangeal eksartikulasjon,PROCEDURE
28514,Eksartikulasjon i interfalangealledd på fot,PROCEDURE
28515,Talokrural og malleolær amputasjon,PROCEDURE
28516,Intertarsal amputasjon,PROCEDURE
28517,Transmetatarsal amputasjon,PROCEDURE
28518,Partiell tåamputasjon,PROCEDURE
28519,Revisjon av talokrural eksartikulasjonsstump,PROCEDURE
28520,Revisjon av talokrural og malleolær amputasjonsstump,PROCEDURE
28521,Revisjon av intertarsal amputasjons- eller eksartikulasjonsstump,PROCEDURE
28522,Revisjon av tarsometatarsal eksartikulasjonsstump,PROCEDURE
28523,Revisjon av transmetatarsal amputasjonsstump,PROCEDURE
28524,Revisjon av metatarsofalangeal eksartikulasjonsstump,PROCEDURE
28525,Revisjon av partiell tåamputasjonsstump,PROCEDURE
28526,Annen total amputasjon eller tilhørende operasjon i ankel eller fot,PROCEDURE
28527,Reseksjon av bløtdelstumor i ankel eller fot,PROCEDURE
28528,Marginal eksisjon av bløtdelstumor i ankel eller fot,PROCEDURE
28529,Vid eksisjon av bløtdelstumor i ankel eller fot,PROCEDURE
28530,Kompartmentell eksisjon av bløtdelstumor i ankel eller fot,PROCEDURE
28531,Reseksjon av bein- eller brusktumor i ankel eller fot,PROCEDURE
28532,Marginal eksisjon av bein- eller brusktumor i ankel eller fot,PROCEDURE
28533,Vid eksisjon av bein- eller brusktumor i ankel eller fot,PROCEDURE
28534,Kompartmentell eksisjon av bein- eller brusktumor i ankel eller fot,PROCEDURE
28535,Annen operasjon for tumor i ankel eller fot,PROCEDURE
28536,Incisjon og revisjon ved infeksjon i sene i ankel eller fot,PROCEDURE
28537,Incisjon og revisjon ved infeksjon i muskel og fascie i ankel eller fot,PROCEDURE
28538,Incisjon og revisjon ved leddinfeksjon i ankel eller fot,PROCEDURE
28539,Incisjon og revisjon ved infeksjon i bein i ankel eller fot,PROCEDURE
28540,Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i sene i ankel eller fot,PROCEDURE
28541,Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i muskel og fascie i ankel eller fot,PROCEDURE
28542,Incisjon og revisjon med innlegging av terapeutisk substans ved leddinfeksjon i ankel eller fot,PROCEDURE
28543,Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i bein i ankel eller fot,PROCEDURE
28544,"Annen operasjon for infeksjon i sene, ledd eller bein i ankel eller fot",PROCEDURE
28545,Tilpasning av ekstern protese på fot eller forfot,PROCEDURE
28546,Fjerning av fremmedlegeme fra vev i ankel eller fot,PROCEDURE
28547,Mobilisering av ledd i ankel eller fot,PROCEDURE
28548,"Korreksjon av deformitet i ankel eller fot med muskel, sene eller ligament",PROCEDURE
28549,Korreksjon av deformitet i ankel eller fot med ekstern eller intern fiksasjon,PROCEDURE
28550,Annen operasjon på ankel eller fot,PROCEDURE
28551,Fjerning av proksimal delprotese fra ankelledd,PROCEDURE
28552,Fjerning av distal delprotese fra ankelledd,PROCEDURE
28553,Fjerning av annen delprotese fra ankelledd,PROCEDURE
28554,Fjerning av totalprotese fra ankelledd,PROCEDURE
28555,Fjerning av proksimal del av totalprotese fra ankelledd,PROCEDURE
28556,Fjerning av distal del av totalprotese fra ankelledd,PROCEDURE
28557,Fjerning av annen del av totalprotese fra ankelledd,PROCEDURE
28558,Fjerning av mer enn en del av totalprotese fra ankelledd,PROCEDURE
28559,Fjerning av protese fra annet ledd i fot,PROCEDURE
28560,Fjerning av proksimal del av protese fra annet ledd i fot,PROCEDURE
28561,Fjerning av distal del av protese fra annet ledd i fot,PROCEDURE
28562,Fjerning av annen del av protese fra annet ledd i fot,PROCEDURE
28563,Fjerning av mer enn en del av protese fra annet ledd i fot,PROCEDURE
28564,Fjerning av eksternt fiksasjonsutstyr fra ankel eller fot,PROCEDURE
28565,Fjerning av osteosyntesemateriale fra ankel eller fot,PROCEDURE
28566,Fjerning av ligamentprotese fra ankel eller fot,PROCEDURE
28567,Fjerning av terapeutisk substans etter infeksjonsbehandling i ankel eller fot,PROCEDURE
28568,Fjerning av annet implantat fra ankel eller fot,PROCEDURE
28569,Reoperasjon for sårruptur etter inngrep på ankel eller fot,PROCEDURE
28570,Reoperasjon for overfladisk infeksjon etter inngrep på ankel eller fot,PROCEDURE
28571,Reoperasjon for dyp infeksjon etter inngrep på ankel eller fot,PROCEDURE
28572,Reoperasjon for overfladisk blødning etter inngrep på ankel eller fot,PROCEDURE
28573,Reoperasjon for dyp blødning etter inngrep på ankel eller fot,PROCEDURE
28574,Annen reoperasjon etter inngrep på ankel eller fot,PROCEDURE
28575,Punksjon av bløtdeler i ankel eller fot,PROCEDURE
28576,Enkel incisjon i bløtdeler i ankel eller fot,PROCEDURE
28577,Artrocentese i ankel eller fot,PROCEDURE
28578,Injeksjon av terapeutisk substans i ledd i ankel eller fot,PROCEDURE
28579,Myk bandasje på ankel eller fot,PROCEDURE
28580,Prefabrikert ortose på ankel eller fot,PROCEDURE
28581,Skinne av modellerbart materiale på ankel eller fot,PROCEDURE
28582,Sirkulær gips på ankel eller fot,PROCEDURE
28583,Annen ortopedisk bandasje på ankel eller fot,PROCEDURE
28584,Ekstern strekkbehandling på ankel eller fot,PROCEDURE
28585,Implantasjon av skjelettmarkør i ankel eller fot,PROCEDURE
28586,Måling av intramuskulært trykk uten provokasjon,PROCEDURE
28587,Måling av intramuskulært trykk med provokasjon,PROCEDURE
28588,"Leddpunksjon, ultralydveiledet",PROCEDURE
28589,Innlegging av elektrode i bevegelsesapparatet for trykkregistrering eller stimulering av beinvekst,PROCEDURE
28590,Mikroskopisk undersøkelse av leddvæske,PROCEDURE
28591,Mikroskopisk undersøkelse av leddvæske med polarisert lys,PROCEDURE
28592,Bevegelsesanalyse med bruk av eksternt utstyr,PROCEDURE
28593,Leddskylling,PROCEDURE
28594,Trykkbølgebehandling,PROCEDURE
28595,Kjemisk synoviortese av andre ledd,PROCEDURE
28596,"Injeksjon av terapeutisk substans i overekstremiteter, under gjennomlysning",PROCEDURE
28597,"Injeksjon av terapeutisk substans i overekstremiteter, CT-veiledet",PROCEDURE
28598,"Injeksjon av terapeutisk substans i underekstremiteter, under gjennomlysning",PROCEDURE
28599,"Injeksjon av terapeutisk substans i underekstremiteter, CT-veiledet",PROCEDURE
28600,Reseksjon av bløtdelslesjon med annen eller uspesifisert anatomisk lokalisasjon,PROCEDURE
28601,Marginal reseksjon av bløtdelslesjon med annen eller uspesifisert anatomisk lokalisasjon,PROCEDURE
28602,Vid reseksjon av bløtdelslesjon med annen eller uspesifisert anatomisk lokalisasjon,PROCEDURE
28603,Kompartmentell reseksjon av bløtdelslesjon med annen eller uspesifisert anatomisk lokalisasjon,PROCEDURE
28604,"Radiofrekvensablasjon i overekstremiteter, CT-veiledet",PROCEDURE
28605,"Radiofrekvensablasjon i underekstremiteter, CT-veiledet",PROCEDURE
28606,Tilpasning av redresserende plastkorsett,PROCEDURE
28607,Tilpasning av reklinerende plastkorsett,PROCEDURE
28608,Tilpasning av kroppskorsett utenom etter operasjon,PROCEDURE
28609,Tilpasning av kroppskorsett postoperativt,PROCEDURE
28610,Tilpasning av tøykorsett forsterket med spiler eller plater,PROCEDURE
28611,Tilpasning av sittekurv,PROCEDURE
28612,Tilpasning av Symes eller Boyd protese,PROCEDURE
28613,Reoperasjon for sårruptur etter inngrep på bevegelsesapparatet med annen anatomisk avgrensning enn gruppene NA-NH,PROCEDURE
28614,Reoperasjon for overfladisk infeksjon etter inngrep på bevegelsesapparatet med annen anatomisk avgrensning enn gruppene NA-NH,PROCEDURE
28615,Reoperasjon for dyp infeksjon etter inngrep på bevegelsesapparatet med annen anatomisk avgrensning enn gruppene NA-NH,PROCEDURE
28616,Reoperasjon for overfladisk blødning etter inngrep på bevegelsesapparatet med annen anatomisk avgrensning enn gruppene NA-NH,PROCEDURE
28617,Reoperasjon for dyp blødning etter inngrep på bevegelsesapparatet med annen anatomisk avgrensning enn gruppene NA-NH,PROCEDURE
28618,Annen bildeveiledet intervensjon på bevegelsesapparatet,PROCEDURE
28619,Annen reoperasjon etter inngrep på bevegelsesapparatet med annen anatomisk avgrensning enn gruppene NA-NH,PROCEDURE
28620,Aspirasjon av beinmarg,PROCEDURE
28621,Borebiopsi av beinmarg,PROCEDURE
28622,Utredning av utviklingstrinn og/eller evner,PROCEDURE
28623,"Utredning av kommunikasjon og språk, eventuelt skrive- og/eller regneevne",PROCEDURE
28624,Kartlegging/utredning av sansefunksjoner,PROCEDURE
28625,Kartlegging av bevissthetsnivå,PROCEDURE
28626,Kartlegging av fatigue og/eller søvn,PROCEDURE
28627,Kartlegging/utredning av smerte,PROCEDURE
28628,Kartlegging/utredning av grovmotorikk og mobilitet,PROCEDURE
28629,Kartlegging/utredning av finmotorikk,PROCEDURE
28630,"Kartlegging av munnmotorikk, svelgfunksjon og spisefunksjon",PROCEDURE
28631,Kartlegging av sensibilitet ved nerveskader,PROCEDURE
28632,Klinisk undersøkelse eller intervju ved medfødt eller tidlig ervervet tilstand,PROCEDURE
28633,Utredning med tanke på gjennomgripende utviklingsforstyrrelse,PROCEDURE
28634,"Kartlegging av personlige ADL-funksjoner (personlig hygiene, påkledning, spising)",PROCEDURE
28635,Kartlegging av instrumentelle ADL-funksjoner,PROCEDURE
28636,Kartlegging/utredning av utfordrende atferd,PROCEDURE
28637,Kartlegging av funksjonsevne relatert til arbeid og utdanning,PROCEDURE
28638,Kartlegging/utredning av behov for hjelpemidler og/eller fysisk tilrettelegging av bolig,PROCEDURE
28639,"Kartlegging av opplevd kjønnsidentitet og seksuell orientering, seksuelle dysfunksjoner, kunnskap om følelser, seksualitet og samliv og kroppens funksjoner",PROCEDURE
28640,Strukturert kartlegging av miljøfaktorer,PROCEDURE
28641,Kartlegging av pasients/brukers mestringsevne,PROCEDURE
28642,Kartlegging av pasients/brukers mål,PROCEDURE
28643,"Observasjon av pasientens funksjonsevne i sitt nærmiljø (hjem, barnehage, skole) og/eller miljøfaktorer",PROCEDURE
28644,Mestringsorientert samtale,PROCEDURE
28645,Veiledet og instruert fysisk trening knyttet til motorikk og/eller kondisjon,PROCEDURE
28646,Bløtdelsbehandling og andre manuelle teknikker,PROCEDURE
28647,Trening av og/eller veiledning i kognitive funksjoner,PROCEDURE
28648,Veiledning og trening av munnmotorikk og svelgfunksjon,PROCEDURE
28649,Trening av syn,PROCEDURE
28650,Trening av hørsel,PROCEDURE
28651,"Veiledning og trening av språk, stemme, talefunksjon og/eller kommunikasjonsevne og -ferdighet",PROCEDURE
28652,Veiledning og trening i personlig ADL,PROCEDURE
28653,Veiledning og/eller trening i instrumentell ADL,PROCEDURE
28654,"Trening i tiltak relatert til skole, lek og fritidsaktiviteter",PROCEDURE
28655,Aktiviteter relatert til å beholde eller skaffe arbeid og utdanning,PROCEDURE
28656,"Veiledning, trening og stimulering i finmotorisk funksjon",PROCEDURE
28657,Veiledning knyttet til utfordrende atferd,PROCEDURE
28658,Individuell rådgivning og veiledning vedrørende bomiljø og andre miljøfaktorer,PROCEDURE
28659,"Utprøving, tilpasning, opplæring og veiledning i bruk av hjelpemidler",PROCEDURE
28660,"Veiledning/opplæring vedrørende kroppsfunksjoner, følelser, seksualitet eller samliv",PROCEDURE
28661,Individuell rådgivning i forebyggende hensikt,PROCEDURE
28662,Eksplorasjon av truncus brachiocephalicus,PROCEDURE
28663,Eksplorasjon av a. carotis communis,PROCEDURE
28664,Eksplorasjon av a. carotis interna,PROCEDURE
28665,Eksplorasjon av a. subclavia,PROCEDURE
28666,Eksplorasjon av annen arterie fra aortabuen eller dens greiner,PROCEDURE
28667,Ligatur av truncus brachiocephalicus,PROCEDURE
28668,Ligatur av a. carotis communis,PROCEDURE
28669,Ligatur av a. carotis interna,PROCEDURE
28670,Ligatur av a. carotis externa,PROCEDURE
28671,Ligatur av a. subclavia,PROCEDURE
28672,Ligatur av a. vertebralis,PROCEDURE
28673,Ligatur av annen arterie fra aortabuen eller dens greiner,PROCEDURE
28674,Sutur av truncus brachiocephalicus,PROCEDURE
28675,Sutur av a. carotis communis,PROCEDURE
28676,Sutur av a. carotis interna,PROCEDURE
28677,Sutur av a. subclavia,PROCEDURE
28678,Sutur av annen arterie fra aortabuen eller dens greiner,PROCEDURE
28679,Trombektomi eller embolektomi i truncus brachiocephalicus,PROCEDURE
28680,Perkutan trombektomi eller embolektomi i a. carotis communis,PROCEDURE
28681,Perkutan trombektomi eller embolektomi i a. carotis interna,PROCEDURE
28682,Perkutan trombektomi eller embolektomi i a. carotis externa,PROCEDURE
28683,Trombektomi eller embolektomi i a. carotis,PROCEDURE
28684,Trombektomi eller embolektomi i a. subclavia,PROCEDURE
28685,Perkutan trombektomi eller embolektomi i a. subclavia,PROCEDURE
28686,Perkutan trombektomi eller embolektomi i annen arterie fra aortabuen eller dens greiner,PROCEDURE
28687,Trombektomi eller embolektomi i annen arterie fra aortabuen eller dens greiner,PROCEDURE
28688,Trombendarterektomi i truncus brachiocephalicus,PROCEDURE
28689,Trombendarterektomi i a. carotis communis,PROCEDURE
28690,Trombendarterektomi i a. carotis interna,PROCEDURE
28691,Trombendarterektomi i a. carotis externa,PROCEDURE
28692,Trombendarterektomi i a. subclavia,PROCEDURE
28693,Trombendarterektomi i a. vertebralis,PROCEDURE
28694,Trombendarterektomi i annen arterie fra aortabuen eller dens greiner,PROCEDURE
28695,Operasjon for aneurisme i truncus brachiocephalicus,PROCEDURE
28696,Operasjon for aneurisme i a. carotis communis,PROCEDURE
28697,Operasjon for aneurisme i a. carotis interna,PROCEDURE
28698,Operasjon for aneurisme i a. subclavia,PROCEDURE
28699,Operasjon for aneurisme i annen arterie fra aortabuen eller dens greiner,PROCEDURE
28700,Bypass fra truncus brachiocephalicus,PROCEDURE
28701,Bypass fra a. carotis communis,PROCEDURE
28702,Bypass fra a. carotis interna,PROCEDURE
28703,Bypass fra a. carotis til a. subclavia,PROCEDURE
28704,Bypass fra a. subclavia,PROCEDURE
28705,Bypass fra annen arterie utgående fra aortabuen eller dens greiner,PROCEDURE
28706,Transposisjon av a. subclavia,PROCEDURE
28707,Transposisjon av a. vertebralis,PROCEDURE
28708,Transposisjon av annen arterie fra aortabuen eller dens greiner,PROCEDURE
28709,Reimplantasjon av arterie i truncus brachiocephalicus,PROCEDURE
28710,Reimplantasjon av arterie i a. carotis communis,PROCEDURE
28711,Reimplantasjon av arterie i a. carotis interna,PROCEDURE
28712,Reimplantasjon av arterie i a. subclavia,PROCEDURE
28713,Reimplantasjon av arterie i a. vertebralis,PROCEDURE
28714,Reimplantasjon av arterie i annen arterie fra aortabuen eller dens greiner,PROCEDURE
28715,"Perkutan lukking av fistel i bypass fra a. carotis, subclavia eller axillaris",PROCEDURE
28716,Lukking av arteriovenøs fistel fra a. carotis interna,PROCEDURE
28717,Lukking av arteriovenøs fistel fra a. carotis externa,PROCEDURE
28718,Lukking av arteriovenøs fistel fra a. subclavia,PROCEDURE
28719,Lukking av arteriovenøs fistel fra annen arterie utgående fra aortabuen eller dens greiner,PROCEDURE
28720,Arterioplastikk på truncus brachiocephalicus,PROCEDURE
28721,Arterioplastikk på a. carotis communis,PROCEDURE
28722,Arterioplastikk på a. carotis interna,PROCEDURE
28723,Arterioplastikk på a. subclavia,PROCEDURE
28724,Arterioplastikk på a. vertebralis,PROCEDURE
28725,Arterioplastikk på annen arterie fra aortabuen eller dens greiner,PROCEDURE
28726,Perkutan angioplastikk på truncus brachiocephalicus,PROCEDURE
28727,Perkutan angioplastikk på a. carotis communis,PROCEDURE
28728,Perkutan angioplastikk på a. carotis interna,PROCEDURE
28729,Perkutan angioplastikk på a. carotis eksterna,PROCEDURE
28730,Perkutan angioplastikk på a. subclavia,PROCEDURE
28731,Perkutan angioplastikk på a. mammaria int.,PROCEDURE
28732,Perkutan angioplastikk på annen arterie fra aortabuen eller dens greiner,PROCEDURE
28733,Innlegging av stent i truncus brachiocephalicus,PROCEDURE
28734,Innlegging av stent i a. carotis communis,PROCEDURE
28735,Innlegging av stent i a. carotis interna,PROCEDURE
28736,Innlegging av stent i a. carotis eksterna,PROCEDURE
28737,Innlegging av stent i a. subclavia,PROCEDURE
28738,Innlegging av stent i annen arterie fra aortabuen eller dens greiner,PROCEDURE
28739,Fjerning av stent fra truncus brachiocephalicus,PROCEDURE
28740,Fjerning av stent fra a. carotis communis,PROCEDURE
28741,Fjerning av stent fra a. carotis interna,PROCEDURE
28742,Fjerning av stent fra a. subclavia,PROCEDURE
28743,Fjerning av stent fra annen arterie fra aortabuen eller dens greiner,PROCEDURE
28744,Injeksjon av trombolytisk substans i truncus brachiocephalicus,PROCEDURE
28745,Injeksjon av trombolytisk substans i a. carotis communis,PROCEDURE
28746,Injeksjon av trombolytisk substans i a. carotis interna,PROCEDURE
28747,Injeksjon av trombolytisk substans i a. carotis eksterna,PROCEDURE
28748,Injeksjon av trombolytisk substans i a. subclavia,PROCEDURE
28749,Injeksjon av trombolytisk substans i annen arteriegrein utgående fra aortabuens arterier,PROCEDURE
28750,Eksplorasjon av rekonstruksjon av arterie fra aortabuen eller dens greiner,PROCEDURE
28751,"Trombektomi eller embolektomi i bypass fra a. carotis, subclavia eller axillaris",PROCEDURE
28752,"Lukking av fistel i bypass fra a. carotis, subclavia eller axillaris",PROCEDURE
28753,"Eksisjon av bypass fra a. carotis, subclavia eller axillaris",PROCEDURE
28754,Annen ny operasjon etter tidligere rekonstruksjon av arterie fra aortabuen eller dens greiner,PROCEDURE
28755,Annen bildeveiledet intervensjon på arterier fra aortabuen eller dens greiner,PROCEDURE
28756,Annen operasjon på arterier fra aortabuen eller dens greiner,PROCEDURE
28757,Perkutan okklusjon av a. subclavia,PROCEDURE
28758,Perkutan okklusjon av annen arteriegrein utgående fra aortabuens arterier,PROCEDURE
28759,Innlegging av stentgraft i truncus brachiocephalicus,PROCEDURE
28760,Innlegging av stentgraft i a. carotis communis,PROCEDURE
28761,Innlegging av stentgraft i a. carotis interna,PROCEDURE
28762,Innlegging av stentgraft i a. carotis eksterna,PROCEDURE
28763,Innlegging av stentgraft i a. subclavia,PROCEDURE
28764,Innlegging av stentgraft i annen arterie fra aortabuen eller dens greiner,PROCEDURE
28765,Eksplorasjon av a. axillaris,PROCEDURE
28766,Eksplorasjon av a. brachialis,PROCEDURE
28767,Eksplorasjon av a. radialis eller ulnaris,PROCEDURE
28768,Eksplorasjon av annen overekstremitetsarterie,PROCEDURE
28769,Ligatur av a. axillaris,PROCEDURE
28770,Ligatur av a. brachialis,PROCEDURE
28771,Ligatur av a. radialis eller ulnaris,PROCEDURE
28772,Ligatur av annen overekstremitetsarterie,PROCEDURE
28773,Sutur av a. axillaris,PROCEDURE
28774,Sutur av a. brachialis,PROCEDURE
28775,Sutur av a. radialis eller ulnaris,PROCEDURE
28776,Sutur av annen overekstremitetsarterie,PROCEDURE
28777,Trombektomi eller embolektomi i a. axillaris,PROCEDURE
28778,Trombektomi eller embolektomi i a. brachialis,PROCEDURE
28779,Trombektomi eller embolektomi i a. radialis eller ulnaris,PROCEDURE
28780,Perkutan trombektomi eller embolektomi i overekstremitetsarterie,PROCEDURE
28781,Trombektomi eller embolektomi i annen overekstremitetsarterie,PROCEDURE
28782,Trombendarterektomi i a. axillaris,PROCEDURE
28783,Trombendarterektomi i a. brachialis,PROCEDURE
28784,Trombendarterektomi i annen overekstremitetsarterie,PROCEDURE
28785,Operasjon for aneurisme i a. axillaris,PROCEDURE
28786,Operasjon for aneurisme i a. brachialis,PROCEDURE
28787,Operasjon for aneurisme i annen overekstremitetsarterie,PROCEDURE
28788,Bypass fra a. axillaris,PROCEDURE
28789,Bypass fra a. brachialis,PROCEDURE
28790,Bypass fra annen overekstremitetsarterie,PROCEDURE
28791,Injeksjon av terapeutisk substans i arteriovenøs fistel fra overekstremitetsarterie,PROCEDURE
28792,Konstruksjon av arteriovenøs fistel fra a. axillaris,PROCEDURE
28793,Konstruksjon av arteriovenøs fistel fra a. brachialis,PROCEDURE
28794,Konstruksjon av arteriovenøs fistel fra a. radialis eller ulnaris,PROCEDURE
28795,Konstruksjon av annen arteriovenøs fistel fra overekstremitetsarterie,PROCEDURE
28796,Lukking av arteriovenøs fistel fra a. axillaris,PROCEDURE
28797,Lukking av arteriovenøs fistel fra a. brachialis,PROCEDURE
28798,Lukking av arteriovenøs fistel fra a. radialis eller ulnaris,PROCEDURE
28799,Perkutan lukking av arteriovenøs fistel i bypass fra overekstremitetsarterie,PROCEDURE
28800,Lukking av annen arteriovenøs fistel i overekstremitet,PROCEDURE
28801,Arterioplastikk på a. axillaris,PROCEDURE
28802,Arterioplastikk på a. brachialis,PROCEDURE
28803,Arterioplastikk på annen overekstremitetsarterie,PROCEDURE
28804,Perkutan angioplastikk på a. axillaris,PROCEDURE
28805,Perkutan angioplastikk på a. brachialis,PROCEDURE
28806,Perkutan angioplastikk på arteriovenøs fistel fra overekstremitetsarterie,PROCEDURE
28807,Perkutan angioplastikk på annen overekstremitetsarterie,PROCEDURE
28808,Innlegging av stent i a. axillaris,PROCEDURE
28809,Innlegging av stent i a. brachialis,PROCEDURE
28810,Perkutan innlegging av stent i arteriovenøs fistel fra overekstremitetsarterie,PROCEDURE
28811,Innlegging av stent i annen overekstremitetsarterie,PROCEDURE
28812,Fjerning av stent fra a. axillaris,PROCEDURE
28813,Fjerning av stent fra a. brachialis,PROCEDURE
28814,Fjerning av stent fra annen overekstremitetsarterie,PROCEDURE
28815,Injeksjon av trombolytisk agens i a. axillaris,PROCEDURE
28816,Injeksjon av trombolytisk agens i a. brachialis,PROCEDURE
28817,Injeksjon av trombolytisk agens i annen overekstremitetsarterie,PROCEDURE
28818,Eksplorasjon av rekonstruksjon av overekstremitetsarterie,PROCEDURE
28819,Trombektomi i arteriovenøs fistel fra overekstremitetsarterie,PROCEDURE
28820,Lukking av arteriovenøs fistel i bypass fra overekstremitetsarterie,PROCEDURE
28821,Arterioplastikk på arteriovenøs fistel fra overekstremitetsarterie,PROCEDURE
28822,Eksisjon av bypass fra overekstremitetsarterie,PROCEDURE
28823,Ligatur av bypass fra overekstremitetsarterie,PROCEDURE
28824,Annen ny operasjon etter tidligere rekonstruksjon av overekstremitetsarterie,PROCEDURE
28825,Annen bildeveiledet intervensjon på overekstremitetsarterie,PROCEDURE
28826,Annen bildeveiledet intervensjon etter tidligere rekonstruksjon av overekstremitetsarterie,PROCEDURE
